"Story","Title","Result","Date","Stability","Duration (s)"
"Booking info CURD steps","Getting Authentication","FAILURE","2022-06-07T21:55:32.160+01:00[Europe/London]","0.0","2.67"
"Booking info CURD steps","Getting All Bookings","ERROR","2022-06-07T21:55:34.847+01:00[Europe/London]","0.0","0.08"
"Booking info CURD steps","Getting Bookings By Id","ERROR","2022-06-07T21:55:34.988+01:00[Europe/London]","0.0","0.02"
"Booking info CURD steps","Creating Booking ","FAILURE","2022-06-07T21:55:35.004+01:00[Europe/London]","0.0","0.54"
"Booking info CURD steps","Updating Booking By Id","ERROR","2022-06-07T21:55:35.540+01:00[Europe/London]","0.0","0.03"
"Booking info CURD steps","Deleting Booking By Id","FAILURE","2022-06-07T21:55:35.571+01:00[Europe/London]","0.0","0.58"
